Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Parameter_type,Parameter_FromFigure,Method_from_supplement,Parameter value,Exponent,Parameter lower bound,Parameter upper bound,Inverse_param,Parameter unit,Parameter value type,Parameter statistical approach,Parameter uncertainty - single type,Parameter uncertainty - single value,Parameter uncertainty - type,Parameter uncertainty - lower value,Parameter uncertainty - upper value,Distribution_type,Distribution_par1_type,Distribution_par1_value,Distribution_par1_uncertainty,Distribution_par2_type,Distribution_par2_value,Distribution_par2_uncertainty,parameter_paired,Parameter 2 value type,Parameter 2 value,Parameter 2 lower bound,Parameter 2 upper bound,Exponent_2,Inverse_param_2,Parameter 2 unit,Method_2_from_supplement,Parameter 2 statistical approach,Parameter 2 uncertainty - single type,Parameter 2 uncertainty - single value,Parameter 2 uncertainty type,Parameter 2 uncertainty - lower value,Parameter 2 uncertainty - upper value,Distribution_2_type,Distribution_2_par1_type,Distribution_2_par1_value,Distribution_2_par1_uncertainty,Distribution_2_par2_type,Distribution_2_par2_value,Distribution_2_par2_uncertainty,Genome_site,Genomic_sequence_available,Method_R,R_pathway,parameter_hd_from,Other_delay_start,parameter_hd_to,Other_delay_end,CFR_IFR_numerator,CFR_IFR_denominator,CFR_IFR_Method,Case_definition,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Method_disaggregated,Method_disaggregated_only,Method_disaggregated_by,Population_sex,Population_sample_size,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_country,Population_location,parameter_context_location_type,Method_moment_value,Urban/Rural area,Data_available,parameter_notes,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,access_param_id,Pathogen,num_rows,matching
64,1,FALSE,1657,Megan Ruffle,Overdispersion,No,No,NA,NA,0.019,0.078,No,No units,Maximum likelihood,Estimated parameter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Method,Unspecified,NA,Travel based,Persons under investigation,NA,NA,"Algeria,Austria,China,Egypt,France,Germany,Greece,Iran (Islamic Republic of),Italy,Lebanon,Malaysia,Netherlands,Philippines,Republic of Korea,Spain,Thailand,Tunisia,TÃ¼rkiye,United Kingdom of Great Britain and Northern Ireland,United States of America",NA,NA,NA,NA,Yes - as an attachment,Overdispersion for basic reproduction number; Data is available as a table in the paper,NA,NA,NA,NA,NA,NA,064_002,MERS-CoV,1,0
49,1,FALSE,1677,Richard Sheppard,Reproduction number (Basic R0) - Human,No,No,0.91,NA,0,80,No,No units,Mean,Estimated parameter,NA,NA,CI95%,0.36,1.44,Negative-Binomial,Mean,0.91,yes (ONLY tick if this applies),NA,0.06,yes (ONLY tick if this applies),No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Human-human,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,"Occupation,Region,Method,Disease generation",Unspecified,NA,Hospital based,Mixed groups,NA,NA,"Republic of Korea,Saudi Arabia","South Korea; Al-Hasa, Kingdom of Saudi Arabia",NA,End outbreak,Unspecified,NA,"They fit a negative binomial distribution to secondary cases, across multiple disease generations, for Re which they call R0, and k. And also estimate R0 and Re empirically from trees and call both R0",1,4,2013,5,7,2015,049_001,MERS-CoV,1,0
49,1,FALSE,1677,Richard Sheppard,Overdispersion,No,No,0.06,NA,NA,NA,No,Unspecified,Unspecified,Estimated parameter,NA,NA,CI95%,0.03,0.09,Negative-Binomial,Mean,0.91,yes (ONLY tick if this applies),NA,0.06,yes (ONLY tick if this applies),No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,NA,Hospital based,Mixed groups,NA,NA,"Republic of Korea,Saudi Arabia","South Korea; Al-Hasa, Kingdom of Saudi Arabia",NA,End outbreak,Unspecified,NA,They fit a negative binomial distribution to secondary cases.,1,4,2013,5,7,2015,049_002,MERS-CoV,1,0
66,1,FALSE,1678,Alba Halliday,Human delay - incubation period,No,No,6.1,NA,4.6,8.8,No,Days,Median,Observed sample statistic,NA,NA,CI95%,4.7,7.5,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,"Region,Other",Both,25,Hospital based,Persons under investigation,NA,NA,Republic of Korea,Daejeon,City,Post outbreak,Urban area,Not available,"Incubation period estimated by using the most probable exposure method. Disaggregated by hospital (A&B) and method for estimating incubation period (5.6 [4.2,6.9]). 1 index case, 25 new.",NA,5,2015,NA,7,2015,066_001,MERS-CoV,1,0
36,1,FALSE,1678,Richard Sheppard,Attack rate,No,No,3.7,NA,0,100,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,"Age,Level of exposure,Occupation,Sex,Other",Both,672,Hospital based,Persons under investigation,NA,NA,Republic of Korea,Daejeon,City,Post outbreak,Urban area,Not available,"Attack rate among all exposed persons (25/672). Disaggregated by occupation (Nurse, Doctor & other), same ward & other ward, caregiver & patients",NA,5,2015,NA,7,2015,036_002,MERS-CoV,1,0
36,1,FALSE,1678,Richard Sheppard,Severity - case fatality rate (CFR),No,No,44,NA,0,83.3,No,Percentage (%),Central - unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,25,Naive,Lab confirmed,NA,NA,NA,NA,NA,Yes,Yes,"Region,Symptoms",Both,25,Hospital based,Persons under investigation,NA,NA,Republic of Korea,Daejeon,City,Post outbreak,Urban area,Not available,Disaggregated by hospital (A&B) and concurrent conditions (pulmonary&non-pulmonary/none),NA,5,2015,NA,7,2015,036_003,MERS-CoV,1,0
36,1,FALSE,1678,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infection,"Age,Occupation,Sex,Other",Healthcare,Not significant,Not adjusted,Yes,No,"Level of exposure,Region,Other",Both,672,Hospital based,Mixed groups,NA,NA,Republic of Korea,Daejeon,City,Post outbreak,Urban area,Yes - on another platform,NA,NA,NA,2015,NA,NA,2015,036_004,MERS-CoV,1,0
56,1,FALSE,1683,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Age,Comorbidity,Occupation,Sex",Healthcare,Not significant,Not adjusted,No,NA,NA,Both,186,Hospital based,Persons with symptoms,NA,NA,Republic of Korea,NA,NA,Post outbreak,Unspecified,Unspecified,The outcome is observed secondary infections. Other risk factor: recovered vs deceased infector > secondary infection,11,5,2015,NA,7,2015,056_001,MERS-CoV,1,0
56,1,FALSE,1683,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,NA,Significant,Not adjusted,No,NA,NA,Both,186,Hospital based,Persons with symptoms,NA,NA,Republic of Korea,NA,NA,Post outbreak,Unspecified,Unspecified,"The outcome is observed secondary infections, significant risk factor is outcome, where those that died had greater risk of causing secondary infections..",11,5,2015,NA,7,2015,056_002,MERS-CoV,1,0
56,1,FALSE,1683,Richard Sheppard,Risk factors,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Age,Comorbidity,Occupation,Sex",Healthcare,Not significant,Adjusted,No,NA,NA,Both,186,Hospital based,Persons with symptoms,NA,NA,Republic of Korea,NA,NA,Post outbreak,Unspecified,Unspecified,The outcome is observed secondary infections. Other risk factor: recovered vs deceased infector > secondary infection,11,5,2015,NA,7,2015,056_003,MERS-CoV,1,0
56,1,FALSE,1683,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,NA,Significant,Adjusted,No,NA,NA,Both,186,Hospital based,Persons with symptoms,NA,NA,Republic of Korea,NA,NA,Post outbreak,Unspecified,Unspecified,"The outcome is observed secondary infections, significant risk factor is outcome, where those that died had greater risk of causing secondary infections..",11,5,2015,NA,7,2015,056_004,MERS-CoV,1,0
26,1,FALSE,1687,Tini Garske,Secondary attack rate,No,No,42,-4,3,75,No,NA,Unspecified,Observed sample statistic,NA,NA,CI95%,33,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Time,Unspecified,15831,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,Riyadh City,emergency room in a large tertiary hospital,Post outbreak,Unspecified,Unspecified,NA,11,7,2015,26,8,2015,026_001,MERS-CoV,1,0
26,1,FALSE,1687,Tini Garske,Severity - proportion of asymptomatic cases,No,No,33,NA,NA,NA,No,Percentage (%),Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Unspecified,43,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,Riyadh City,emergency room in a large tertiary hospital,Post outbreak,Unspecified,Unspecified,"it seems they did the math wrong: 25 symptomatic + 18 asymptomatic cases = 43 cases, 18/43 = 42% asymptomatic, vs the 33% given in the paper.",11,7,2015,26,8,2015,026_002,MERS-CoV,1,0
58,1,FALSE,1687,Richard Sheppard,Human delay - other human delay (go to section),No,No,7,NA,NA,NA,No,Days,Unspecified,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onset of symptoms,Diagnosis/test result,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,48,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,Riyadh City,emergency room in a large tertiary hospital,Post outbreak,Unspecified,Unspecified,"There is another delay from a later time period, but this delay just has a single sample.",11,7,2015,26,7,2015,058_002,MERS-CoV,1,0
45,1,FALSE,1700,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recovery,"Occupation,Other",Healthcare,Significant,Unspecified,NA,NA,NA,Both,96,Hospital based,Mixed groups,NA,NA,Saudi Arabia,"King Abdulaziz Medical City- Riyadh (KAMC-R), Ministry of National Guard Health Affairs",Hospital,Post outbreak,Urban area,Not available,NA,NA,6,2015,NA,9,2015,045_003,MERS-CoV,1,0
45,1,FALSE,1700,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Severe disease (in general population),"Occupation,Other",Healthcare,Not significant,Unspecified,NA,NA,NA,Both,96,Hospital based,Mixed groups,NA,NA,Saudi Arabia,"King Abdulaziz Medical City- Riyadh (KAMC-R), Ministry of National Guard Health Affairs",Hospital,Post outbreak,Urban area,Not available,"The risk factor outcome was death between groups. Unsure what ""in general population"" is adding.",NA,6,2015,NA,9,2015,045_005,MERS-CoV,1,0
45,1,FALSE,1700,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),"Occupation,Other",Healthcare,Significant,Unspecified,No,NA,NA,Both,96,Hospital based,Mixed groups,NA,NA,Saudi Arabia,"King Abdulaziz Medical City- Riyadh (KAMC-R), Ministry of National Guard Health Affairs",Hospital,Post outbreak,Urban area,Not available,"The risk factor outcome was death between groups. Unsure what ""in general population"" is adding.",NA,6,2015,NA,9,2015,045_004,MERS-CoV,1,0
45,1,FALSE,1700,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Occupation,Other",Healthcare,Not significant,Unspecified,NA,NA,NA,Both,NA,Hospital based,Mixed groups,NA,NA,Saudi Arabia,"King Abdulaziz Medical City- Riyadh (KAMC-R), Ministry of National Guard Health Affairs",Hospital,Post outbreak,Urban area,Not available,Other non significant risk factors include duration of stay in hospital and ICU and a subset of symptoms.,NA,6,2015,NA,9,2015,045_006,MERS-CoV,1,0
45,1,FALSE,1700,Richard Sheppard,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Occupation,Other",Healthcare,Significant,Unspecified,NA,NA,NA,Both,130,Hospital based,Mixed groups,NA,NA,Saudi Arabia,"King Abdulaziz Medical City- Riyadh (KAMC-R), Ministry of National Guard Health Affairs",Hospital,Post outbreak,Urban area,Not available,"Other significant risk factors is ""any symptoms""",NA,6,2015,NA,9,2015,045_007,MERS-CoV,1,0
45,1,FALSE,1700,Richard Sheppard,Human delay - time in care (length of stay),No,No,NA,NA,20.5,23.5,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Level of exposure,Both,96,Hospital based,Mixed groups,NA,NA,Saudi Arabia,"King Abdulaziz Medical City- Riyadh (KAMC-R), Ministry of National Guard Health Affairs",Hospital,Post outbreak,Urban area,Not available,NA,NA,6,2015,NA,9,2015,045_008,MERS-CoV,1,0
45,1,FALSE,1700,Richard Sheppard,Human delay - other human delay (go to section),No,No,NA,NA,8,22,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICU admission,Other,End of ICU stay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,"Level of exposure,Occupation",Both,96,Hospital based,Mixed groups,NA,NA,Saudi Arabia,"King Abdulaziz Medical City- Riyadh (KAMC-R), Ministry of National Guard Health Affairs",Hospital,Post outbreak,Urban area,Not available,NA,NA,6,2015,NA,9,2015,045_009,MERS-CoV,1,0
165,1,FALSE,1700,Julia Halder,Secondary attack rate,No,No,NA,NA,0.17,2.7,No,Percentage (%),NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,"Level of exposure,Occupation",Both,NA,Hospital based,Healthcare workers,NA,NA,Saudi Arabia,King Abdulaziz Medical City-Riyadh,Hospital,Post outbreak,Urban area,Unspecified,"130 total cases (CAI, HAI, HAI-HCW); parameter 1 is 43 HCWs only from any hospital locations. Denominator unknown.",NA,6,2015,NA,9,2015,165_001,MERS-CoV,1,0
165,1,FALSE,1700,Julia Halder,Severity - case fatality rate (CFR),No,No,NA,NA,0,65.5,No,Percentage (%),NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,Other,NA,NA,NA,NA,NA,Yes,Yes,"Level of exposure,Occupation",Both,NA,Hospital based,Mixed groups,NA,NA,Saudi Arabia,King Abdulaziz Medical City-Riyadh,Hospital,Post outbreak,Urban area,Unspecified,Unclear if they have accounted for all known outcomes (i.e. right-censoring). Cases are both confirmed and probable (positive or inconclusive rt-PCR).,NA,6,2015,NA,9,2015,165_002,MERS-CoV,1,0
165,1,FALSE,1700,Julia Halder,Severity - proportion of symptomatic cases,No,No,NA,NA,58.1,100,No,Percentage (%),NA,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,"Level of exposure,Occupation,Symptoms",Both,NA,Hospital based,Mixed groups,NA,NA,Saudi Arabia,King Abdulaziz Medical City-Riyadh,Hospital,Post outbreak,Urban area,Unspecified,NA,NA,6,2015,NA,9,2015,165_003,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Human delay - incubation period,No,No,5,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,2,13,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_001,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Human delay - other human delay (go to section),No,No,8,NA,7,9,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,0,15,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom onset,Diagnosis/test result,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_002,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Attack rate,No,No,3.3,NA,NA,NA,No,Percentage (%),Mean,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,"Level of exposure,Occupation,Other",Both,389,Hospital based,Persons under investigation,NA,NA,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,This is a secondary attack rate but paper states it as attack rate,18,5,2015,4,6,2015,029_003,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Severity - case fatality rate (CFR),No,No,16.7,NA,NA,NA,No,Percentage (%),Mean,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,36,Unspecified,Confirmed,NA,NA,NA,NA,NA,Yes,No,"Age,Disease generation,Occupation,Sex,Symptoms,Other",Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_004,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Human delay - symptom onset>discharge/recovery,No,No,22.5,NA,17,26.5,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,9,41,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,"Disease generation,Occupation",Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_005,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Human delay - other human delay (go to section),No,No,NA,NA,12.5,17,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,5,30,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MERS confirmation/test,Discharge from Care/Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Disease generation,Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_006,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Human delay - symptom onset>death,No,No,12.5,NA,12.5,16.5,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Range,NA,9,23,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_007,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),"Occupation,Sex,Other",NA,Not significant,Not adjusted,NA,NA,NA,Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_008,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Death (in general population),"Age,Other",NA,Significant,Not adjusted,NA,NA,NA,Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_009,MERS-CoV,1,0
29,1,FALSE,1704,Christian Morgenstern,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,NA,Not significant,Not adjusted,NA,NA,NA,Both,36,Hospital based,Persons under investigation,24,79,Republic of Korea,Pyeongtaek St. Mary's Hospital,City/Hospital,NA,Urban area,Yes - as an attachment,NA,18,5,2015,4,6,2015,029_010,MERS-CoV,1,0
