Article_ID,Pathogen,Covidence_ID,FirstAauthor_Surname,Article_title,DOI,Journal,Year_publication,Volume,Issue,Page_first,Page_last,Name_data_entry,Paper_copy_only,Notes,FirstAuthor_FirstName,QA_M1,QA_M2,QA_A3,QA_A4,QA_D5,QA_D6,QA_D7,Covidence_ID_text,ID
2,Zika virus,659, Seruyange,Seroprevalence of Zika virus and Rubella virus IgG among blood donors in Rwanda and in Sweden,10.1002/jmv.25198,J Med Virol,2018,90,NA,1290,1296,Rob Johnson,FALSE,NA,E,Yes,Yes,NA,NA,Yes,No,No,659,528b20d4462de9e8165d52ba5d241b68
3,Zika virus,1587,Mordecai,"Detecting the impact of temperature on transmission of Zika; dengue; and
chikungunya using mechanistic models",10.1371/journal.pntd.0005568,PLoS Negl Trop Dis,NA,11,4,NA,NA,Rob Johnson,FALSE,Not extracted because it is not a dynamic transmission model & there are no novel data,E,NA,NA,NA,NA,NA,NA,NA,1587,f573126448cf0b0f63f0ed705dacf4ce
4,Zika virus,1628,Mitchell,Reassessing Serosurvey-Based Estimates of the Symptomatic Proportion of Zika Virus Infections,10.1093/aje/kwy189,American Journal of Epidemiology,2019,188,1,206,213,Rob Johnson,FALSE,NA,P,Yes,Yes,Yes,Yes,Yes,Yes,No,1628,94b5484c2f17ebf58b1db406635e3701
5,Zika virus,1026,Suparit,A mathematical model for Zika virus transmission dynamics with a time-dependent mosquito biing rate,10.1186/s12976-018-0083-z,Theoretical Biology and Medical Modelling,2018,15,11,NA,NA,Rob Johnson,FALSE,NA,P,Yes,No,Yes,Yes,NA,NA,NA,1026,5337632b9a6fd060ef3c1fad1bb19084
6,Zika virus,422,Towers,"Estimate of the reproduction number of the 2015 Zika virus outbreak
in Barranquilla; Colombia; and estimation of the relative role of sexual
transmission",10.1016/j.epidem.2016.10.003,Epidemics,2016,17,NA,50,55,Rob Johnson,FALSE,NA,S,No,Yes,No,No,Yes,Yes,Yes,422,b44921073b49d6abdae772e0c41017b0
2,Zika virus,435,Tognarelli,"A report on the outbreak of Zika virus on Easter Island; South 
Pacific; 2014",10.1007/s00705-015-2695-5,Arch Virol,2015,161,NA,665,668,Ruth,FALSE,viral strains found to be most closely related to those in French Polynesia.,J,No,No,No,No,Yes,No,No,435,3d9a211ec607a0170f0a4e0e71b18a0c
3,Zika virus,728,Tedjo Sasmono,Zika Virus Seropositivity in 1–4-Year-Old Children; Indonesia; 2014,10.3201/eid2409.180582,Emerging Infectious Diseases,2018,24,9,1740,1743,Ruth,FALSE,NA,R,Yes,No,NA,NA,Yes,Yes,No,728,2aaf84f22333d21778482b5444591452
4,Zika virus,1117,Solimini,Estimating the risk of Dengue; Chikungunya and Zika outbreaks in a large European city,10.1038/s41598-018-34664-5,Scientific Reports,2018,8,NA,16435,NA,Ruth,FALSE,Also has probability of an outbreak. Calling the parameter R0 but to me given it is over time it should really be Rt,AG,Yes,No,Yes,Yes,Yes,Yes,Yes,1117,b5e8d74af8db72be21dab13cbecca87b
5,Zika virus,1628,Mitchell,Reassessing Serosurvey-Based Estimates of the Symptomatic Proportion of Zika Virus Infections,10.1093/aje/kwy189,American Journal of Epidemiology,2018,188,1,206,213,Ruth,FALSE,NA,PK,Yes,Yes,Yes,Yes,No,Yes,No,1628,350c49cadc83fb2133070109255820e7
6,Zika virus,1674,Tsegaye,Sero-prevalence of yellow fever and related Flavi viruses in Ethiopia: a public health perspective,10.1186/s12889-018-5726-9,BMC Public Health,2018,18,NA,1011,NA,Ruth,FALSE,Mostly about Yellow Fever; ZKV is secondary.,MM,Yes,No,NA,NA,Yes,Yes,No,1674,580013e18f8adcd1c91b966919a0c8a2
4,Zika virus,1679,Mendez,Zika virus disease; microcephaly and Guillain-Barré syndrome in Colombia: epidemiological situation during 21 months of the Zika virus outbreak 2015–2017,10.1186/s13690-017-0233-5,Archives of Public Health,2017,75,65,NA,NA,sangeeta,FALSE,NA,Nelson,Yes,No,Yes,Yes,Yes,Yes,No,1679,3c4b58d3c386a63659040f428e2d8063
1,Zika virus,454,Zhang,Spread of Zika virus in the Americas,10.1073/pnas.1620161114,PNAS,2017,NA,NA,NA,NA,sangeeta,FALSE,Also reports AR with only one vector present.,Qian,Yes,Yes,Yes,Yes,Yes,Yes,Yes,454,b1490b0f1b2523fb10c30de385c75868
2,Zika virus,1121,Soghaier,Evidence of pre-existing active Zika virus circulation in Sudan prior to 2012,10.1186/s13104-018-4027-9,BMC Research Notes,2018,NA,NA,NA,NA,sangeeta,FALSE,NA,Mohaammed A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1121,ab74f3885726f18aaddae6d49fe605a6
3,Zika virus,1663,Metsky,Zika virus evolution and spread in the Americas,10.1038/nature22402,Nature,2017,NA,NA,NA,NA,sangeeta,FALSE,NA,Hayden C.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1663,d6702f3c82274e1a18b9813a48cb6fcd
1,Zika virus,1308,Perkins,Model-based projections of Zika virus infections in childbearing women in the Americas,10.1038/NMICROBIOL.2016.126,Nature Microbiology,2016,1,9,16126,NA,Sequoia,FALSE,NA,T,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1308,eb362454045d0d345cd2e577043938e9
2,Zika virus,674,Sebrango-Rodriguez,Real-time parameter estimation of Zika outbreaks using model averaging,10.1017/S0950268817001078,Epidemiol Infect,2017,145,NA,2313,2323,Sequoia,FALSE,NA,C.,Yes,No,Yes,Yes,Yes,No,No,674,357b0bcc353b9a317cebaf140dddb071
3,Zika virus,924,Rodhain,Arbovirus infections and viral haemorrhagic fevers in Uganda a serological survey in Karamoja district 1984,NA,Transactions of the Royal Society of Tropical Medicine and Hygiene,1989,83,NA,851,854,Sequoia,FALSE,NA,F.,Yes,Yes,Yes,Yes,Yes,No,No,924,2c1212173262b9dc6c8b7a33edb35dbc
4,Zika virus,588,Shutt,Estimatng the reproductive number total outbreak size and reporting rates for Zika epidemics in South and Central America,10.1016/j.epidem.2017.06.005,Epidemics,2017,21,NA,63,79,Sequoia,FALSE,NA,Deborah,Yes,Yes,Yes,Yes,Yes,Yes,Yes,588,c63906f7ff8555c44504339cae791136
5,Zika virus,538,Theze,Genomic Epidemiology Reconstructs the Introduction and Spread of Zika Virus in Central America and Mexico,/10.1016/j.chom.2018.04.017,Cell Host and Microbe,2018,23,NA,855,864,Sequoia,FALSE,NA,Julien,Yes,Yes,Yes,Yes,Yes,Yes,Yes,538,2685ec034f21ac98bdfaaaac9ccfc652
6,Zika virus,367,Valega-Mackenzie,Can Vaccination Save a Zika Virus Epidemic,/10.1007/s11538-018-0393-7,Bull Math Biol,2018,80,NA,598,625,Sequoia,FALSE,NA,Wencel,Yes,No,Yes,No,NA,NA,NA,367,ccd4f9f857a79ee26413a61b2e47752c
7,Zika virus,506,Yokoyama,Possible roles of new mutations shared by asian and american Zika viruses,10.1093/molbev/msw270,Mol Biol Evol,2017,34,3,525,534,Sequoia,FALSE,NA,Shozo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,506,129e48deef857098eb2836bb14b08db9
8,Zika virus,845,Ruchusatsawat,Long-term circulation of Zika virus in Thailand an observational study,"/10.1016/10.1016/
/10.1016/S1473-3099(18)30718-7",Lancet Inf Dis,2019,19,NA,439,446,Sequoia,FALSE,NA,Kriangsak,Yes,Yes,Yes,Yes,Yes,Yes,No,845,ee91c0ab0659d374a528f3886de3fe72
9,Zika virus,1154,Siraj,Assessing the population at risk of Zika virus in Asia - is the emergency really over,10.1136//10.1136/bmjgh-2017-000309,BMJ Global Health,2017,2,3,NA,NA,Sequoia,FALSE,NA,Amir,Yes,Yes,Yes,No,Yes,No,No,1154,29e4a48f916644f974ef1a6e242c3625
10,Zika virus,1674,Mengesha Tsegaye,Seroprevalence of yellow fever and related Flavi viruses in Ethiopia a public health perspective,/10.1186/s12889-018-5726-9,BMC Public Health,2018,18,NA,NA,NA,Sequoia,FALSE,NA,Mesfin,Yes,Yes,Yes,Yes,Yes,Yes,No,1674,160b479aef11cf74f29343c47944c671
1,Zika virus,1496,Ospina,Stratifying the potential local transmission of Zika in municipalities of Antioquia; Colombia,10.1111/tmi.12924,Tropical Medicine and International Health,2017,22,10,1249,1265,Shazia Ruybal-Pesantez,FALSE,Code available in Appendix 1 (for NLREG software),Juan,Yes,No,Yes,Yes,Yes,Yes,No,1496,5ac6eec005717425a5d54755ed6e6fec
2,Zika virus,538,Theze,Genomic Epidemiology Reconstructs the Introduction and Spread of Zika Virus in Central America and Mexico,https://doi.org/10.1016/j.chom.2018.04.017,Cell Host & Microbe,2018,23,NA,855,864,Shazia Ruybal-Pesantez,FALSE,NA,Julien,NA,NA,NA,NA,NA,NA,NA,538,958031189d9f9730be43aaa251832cdb
3,Zika virus,1467,Saad-Roy,The effect of sexual transmission on Zika virus dynamics,https://doi.org/10.1007/s00285-018-1230-1,Mathematical Biology,2018,77,NA,1917,1941,Shazia Ruybal-Pesantez,FALSE,NA,C. M.,NA,NA,NA,NA,NA,NA,NA,1467,4baaf5040b26f9cdfdebb79638677637
4,Zika virus,1026,Suparit,A mathematical model for Zika virus transmission dynamics with a time-dependent mosquito biting rate,https://doi.org/10.1186/s12976-018-0083-z,Theoretical Biology and Medical Modellingal,2018,15,11,NA,NA,Shazia Ruybal-Pesantez,FALSE,Was unsure what parameters to extract; and no info on outbreak + N cases; thus have only extracted info on the model,Parinya,NA,NA,NA,NA,NA,NA,NA,1026,45f1dd1272fe580a084d5a5acd65e888
6,Zika virus,729,Sasmal,Modeling the Spread of Zika Virus in a Stage-Structured Population: Effect of Sexual Transmission,https://doi.org/10.1007/s11538-018-0510-7,Bulletin of Mathematical Biology,2018,80,NA,3038,3067,Shazia Ruybal-Pesantez,FALSE,They formulated 5 models; fitted to data and chose the most appropriate model (those parameters were  extracted - but parameters available from all 5 models),Sourav Kumar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,729,d1c8fa74274f86b9b9d63823639839f9
1,Zika virus,162,Willcox,Seroepidemiology of Dengue; Zika; and Yellow Fever Viruses among Children in the Democratic Republic of the Congo,10.4269/ajtmh.18-0156,Am J Trop Med Hyg,2018,99,3,756,763,Thomas Rawson,FALSE,Quick and easy seroprevalence one. An interesting point though that the seroprevalence results do not map well to neutralisation assays.,Alexandra C,Yes,Yes,NA,NA,Yes,Yes,Yes,162,3c76ad4070824c3901d332d8e9434736
2,Zika virus,66,Yakob,Low risk of a sexually-transmitted Zika virus outbreak,10.1016/s1473-3099(16)30324-3,Lancet Infect Dis,2016,16,10,1100,1102,Thomas Rawson,FALSE,A Comment paper; but can extract an interesting human delay.,Laith,No,No,NA,NA,No,NA,NA,66,2e859486433d09ad2dec973d65abf4a5
3,Zika virus,845,Ruchusatsawat,Long-term circulation of Zika virus in Thailand: an observational study,10.1016/s1473-3099(18)30718-7,Lancet Infect Dis,2019,19,NA,439,446,Thomas Rawson,FALSE,Discusses PCR prevalence nationwide but all we can extract is risk factors.,Kriangsak,Yes,No,Yes,Yes,Yes,Yes,No,845,76c37cf84cd088925e88676734e5cb41
4,Zika virus,1028,Sun,Quantifying the risk of local Zika virus transmission in the contiguous US during the 2015-2016 ZIKV epidemic,10.1186/s12916-018-1185-5,BMC Med,2018,16,1,195,NA,Thomas Rawson,FALSE,A theoretical model of spread in the US,Kaiyuan,Yes,Yes,Yes,No,NA,Yes,No,1028,e578cf2b677926af400a1ab170403f1b
5,Zika virus,1475,Ryan,Outbreak of Zika Virus Infections; Dominica; 2016,10.3201/eid2311.171140,Emerg Infect Dis,2017,23,11,1926,1927,Thomas Rawson,FALSE,An outbreak report; but can also record a human delay.,Sadie J.,Yes,Yes,NA,NA,Yes,No,NA,1475,ddf6d7826eadeede8ef1278386b8d551
2,Zika virus,430,Tonsing,Profile likelihood-based analyses of infectious disease models,10.1177/0962280217746444,Stat Methods Med Res,2018,27,7,1979,1998,Tristan Naidoo,FALSE,"Model type: SEI_1I_2I_3R-SEI; I_1 = asymptomatic; I_2=symptomatic; I_3 covalescent
Statistical approach: profile likelihood; uncertainty: profile likelihood-based confidence interval",Christian,Yes,No,Yes,No,No,No,No,430,56ece561d8bb1ef8547427108461662f
3,Zika virus,717,Scatà,"The Impact of Heterogeneity and
Awareness in Modeling Epidemic
Spreading on Multiplex Networks",10.1038/srep37105,Sci Rep,2016,6,NA,37105,NA,Tristan Naidoo,FALSE,"Intervention: quarantine = preventative isolation (determined by socio economic factors and awareness).
Model type: multiplex network; one layer is SIR-like; the other captures the spread of ""awareness"" which impacts the heterogeneous susceptibility.",Marialisa,Yes,No,Yes,Yes,NA,NA,NA,717,abddad03b92b77f519b97998a106a8ac
4,Zika virus,1028,Sun,"Quantifying the risk of local Zika virus
transmission in the contiguous US during
the 2015–2016 ZIKV epidemic",10.1186/s12916-018-1185-5,BMC Med,2018,16,1,195,NA,Tristan Naidoo,FALSE,Assume memoryless discrete stochastic transition processes.,Kaiyuan,Yes,Yes,No,Yes,No,No,No,1028,c2a94bed1bb681795dc8803c87175477
5,Zika virus,1618,Moghada,Asymptomatic Transmission and the Dynamics of Zika Infection,10.1038/s41598-017-05013-9,Sci Rep,2017,7,1,5829,NA,Tristan Naidoo,FALSE,Other intervention: condom usage,Seyed M.,Yes,No,Yes,Yes,NA,NA,NA,1618,634c99f95faa308a28b5a6504f171c50
6,Zika virus,1663,Metsky,Zika virus evolution and spread in the Americas,10.1038/nature22402,Nature,2017,546,7658,411,415,Tristan Naidoo,FALSE,"Setting: population based; but includes high-risk travellers.
Pop country includes Martinique (a french region in the Carribean).
Exponent for uncertainty: lower (10^-4); upper  (10^-3)
Sub rate in fig: lr slope disagged by lineage",Hayden C.,Yes,Yes,Yes,Yes,Yes,Yes,No,1663,00ea60438e410b5e5b10f6ee7ca851a8
14,Zika virus,1860,Majumder,Utilizing Nontraditional Data Sources for Near Real-Time Estimation of Transmission Dynamics During the 2015-2016 Colombian Zika Virus Disease Outbreak,10.2196/publichealth.5814,JMIR PUBLIC HEALTH AND SURVEILLANCE,2016,2,1,NA,NA,Kelly M,FALSE,R estimates were made with two different datasets - one with HealthMap data adjusted using google trends and the other with traditional INS data.,Maimuna S,Yes,No,Yes,Yes,Yes,Yes,No,1860,ff9ef743561a3c7392b0f0963841ad1c
