Article_ID,ID,Parameter_data_ID,Parameter_type,Parameter.value,Exponent,Parameter.unit,Parameter.lower.bound,Parameter.upper.bound,Parameter.value.type,Parameter.uncertainty...single.value,Parameter.uncertainty...singe.type,Parameter.uncertainty...lower.value,Parameter.uncertainty...upper.value,Parameter.uncertainty...type,CFR_IFR_numerator,CFR_IFR_denominator,Distribution_type,Distribution_par1_value,Distribution_par1_type,Distribution_par1_uncertainty,Distribution_par2_value,Distribution_par2_type,Distribution_par2_uncertainty,Method_from_supplement,Method_moment_value,CFR_IFR_Method,Method_R,Method_disaggregated_by,Method_disaggregated,Method_disaggregated_only,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Population_sex,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_sample_size,Population_country,Population_location,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,Genome_site,Genomic_sequence_available,Other_delay_start,Other_delay_end,Inverse_param,Ebola.variant
1,8f0eabb10074ccb59c7ed72b514c94a8,d977d05a2cdd5d19aa1c47f30df800f1,Human delay - other human delay (go to section),4.4,0,Days,3.8,4.9,Mean,3.5,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,4,1,0,,4,4,,,Both,Hospital based,Unspecified,0.5,75,139,4,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Symptom Onset/Fever,Admission to Care/Hospitalisation,0,4
1,8f0eabb10074ccb59c7ed72b514c94a8,7274bc55d330d463d7fcc2ad904cc030,Human delay - other human delay (go to section),10.6,0,Days,NA,NA,Mean,4.2,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,7,0,0,,7,7,,,Both,Hospital based,Unspecified,NA,NA,63,7,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Admission to Care/Hospitalisation,Discharge from Care/Hospital,0,7
1,8f0eabb10074ccb59c7ed72b514c94a8,f32176a8760b5a2b17bd4b9e50e92d21,Human delay - other human delay (go to section),3.7,0,Days,NA,NA,Mean,2.7,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,8,0,0,,8,8,,,Both,Hospital based,Unspecified,NA,NA,76,8,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Admission to Care/Hospitalisation,Death,0,8
1,8f0eabb10074ccb59c7ed72b514c94a8,22c8b700c70964ca7414857fdc96f9c0,Human delay - incubation period,8,0,Days,6,11.5,Median,NA,,0,20,Range,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,9,1,0,,9,9,,,Both,Hospital based,Unspecified,NA,NA,31,9,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,,,0,9
1,8f0eabb10074ccb59c7ed72b514c94a8,c4298c6825fde1fca6486e5539ae1d16,Human delay - other human delay (go to section),14,0,Days,NA,NA,Median,NA,,3,34,Range,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,11,0,0,,11,11,,,Both,Hospital based,Unspecified,NA,NA,63,11,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Symptom Onset/Fever,Discharge from Care/Hospital,0,11
1,8f0eabb10074ccb59c7ed72b514c94a8,cd2b851f1a4223e3a174db08d270f812,Human delay - other human delay (go to section),14.4,0,Days,NA,NA,Mean,4.7,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,5,0,0,,5,5,,,Both,Hospital based,Unspecified,NA,NA,63,5,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Symptom Onset/Fever,Discharge from Care/Hospital,0,5
1,8f0eabb10074ccb59c7ed72b514c94a8,4588622ad45874e3d56dbb0b846a6f65,Human delay - other human delay (go to section),8.6,0,,NA,NA,,4.8,Standard deviation (Sd),NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,6,0,0,,6,6,,,Both,Hospital based,Unspecified,NA,NA,76,6,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Symptom Onset/Fever,Death,0,6
1,8f0eabb10074ccb59c7ed72b514c94a8,078acc61b791cd7385bb748da96e7b70,Human delay - other human delay (go to section),3,0,Days,3,5,Median,NA,,0,18,Range,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,10,1,0,,10,10,,,Both,Hospital based,Unspecified,0.5,75,139,10,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Symptom Onset/Fever,Admission to Care/Hospitalisation,0,10
1,8f0eabb10074ccb59c7ed72b514c94a8,125f92549da76cdd8c27d54c04f40ce0,Human delay - other human delay (go to section),8,0,Days,NA,NA,Median,NA,,0,27,Range,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,12,0,0,,12,12,,,Both,Hospital based,Unspecified,NA,NA,76,12,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Symptom Onset/Fever,Death,0,12
1,8f0eabb10074ccb59c7ed72b514c94a8,4c32947c56810f1106a265c2ef3f969a,Human delay - other human delay (go to section),10,0,Days,NA,NA,Median,NA,,2,27,Range,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,13,0,0,,13,13,,,Both,Hospital based,Unspecified,NA,NA,63,13,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Admission to Care/Hospitalisation,Discharge from Care/Hospital,0,13
1,8f0eabb10074ccb59c7ed72b514c94a8,05ba7fa11c5cc1238f5e5db12a1fb516,Human delay - other human delay (go to section),3,0,Days,NA,NA,Median,NA,,0,18,Range,NA,NA,NA,NA,NA,0,NA,NA,0,0,Post outbreak,,,14,0,0,,14,14,,,Both,Hospital based,Unspecified,NA,NA,76,14,JUI Holding and Treatment Centre Western Sierra Leone,15,Nov 11,2014,18,Jan 01,2015,,0,Admission to Care/Hospitalisation,Death,0,14
4,e4ba095a1f2e6fced7e8f7d3a56a5e09,2a3ba0b4acefbf7fd474d146fd2ad866,Reproduction number (Basic R0),2.18,0,No units,1.65,2.18,Median,NA,,1.24,3.55,Highest Posterior Density Interval 95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,Start outbreak,,Genomics,23,0,0,,23,23,,,Unspecified,Unspecified,Unspecified,NA,NA,72,23,Sierra Leone,25,May 05,2014,18,Jun 06,2014,Whole genome,0,,,0,23
4,e4ba095a1f2e6fced7e8f7d3a56a5e09,660c9eaa88cba035e165e5ee79230692,Human delay - incubation period,4.92,0,Days,2.3,5.6,Median,NA,,2.11,23.2,Highest Posterior Density Interval 95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,Start outbreak,,,24,0,0,,24,24,,,Unspecified,Unspecified,Unspecified,NA,NA,72,24,Sierra Leone,25,May 05,2014,18,Jun 06,2014,Whole genome,0,,,0,24
4,e4ba095a1f2e6fced7e8f7d3a56a5e09,3fc243cf2781e5042b1b2ba0481a8598,Human delay - infectious period,2.58,0,Days,2.29,6.75,Median,NA,,1.24,6.98,Highest Posterior Density Interval 95%,NA,NA,NA,NA,NA,0,NA,NA,0,0,Start outbreak,,,25,0,0,,25,25,,,Unspecified,Unspecified,Unspecified,NA,NA,72,25,Sierra Leone,25,May 05,2014,18,Jun 06,2014,Whole genome,0,,,0,25
5,dcc8034afa56677baa75061e89127002,3c4b67b04dd403806193f80232dc4820,"Reproduction number (Effective, Re)",NA,0,No units,1.1,2.13,Unspecified,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Mid outbreak,,Compartmental model,26,1,1,,26,26,,,Unspecified,Population based,General population,NA,NA,NA,26,Sierra Leone,22,May 05,2014,3,Dec 12,2014,,0,,,0,26
2,94bebd9806810c448f8b5a4ad72d91eb,cd25af31a4fe6f17a0c1c0087bee700a,"Reproduction number (Effective, Re)",NA,0,No units,0.62,1.38,Unspecified,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,Growth rate,17,1,1,,17,17,,,Unspecified,Population based,General population,NA,NA,NA,17,,25,Mar 03,2014,22,Mar 03,2015,,0,,,0,17
3,c63555b48166412ee45a08202635bcfc,b6a7e622249b90b1d99de1b7f4a6c693,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,18,1,0,Death,18,18,Significant,Adjusted,Both,Hospital based,General population,NA,NA,263,18,Ebola Treatment Centre (ETC) Kerry Town,5,Nov 11,2014,31,03,2015,,0,,,0,18
3,c63555b48166412ee45a08202635bcfc,c09de663a8e13e525ce33c2b24b4dccd,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,19,1,0,Death,19,19,Significant,Not adjusted,Both,Hospital based,Unspecified,NA,NA,263,19,Ebola Treatment Centre (ETC) Kerry Town,5,Nov 11,2014,31,03,2015,,0,,,0,19
3,c63555b48166412ee45a08202635bcfc,e74b00a1a991b7f9cac5a891089227bb,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,20,1,1,Death,20,20,Not significant,Adjusted,Both,,,NA,NA,NA,20,,NA,,NA,NA,,NA,,0,,,0,20
3,c63555b48166412ee45a08202635bcfc,c2b1ebb2e07b1669fca70d8ae8af4d4a,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,21,1,1,Post-viral symptoms,21,21,Not significant,Adjusted,Both,Hospital based,Unspecified,NA,NA,263,21,Ebola Treatment Centre (ETC) Kerry Town,5,Nov 11,2014,31,Mar 03,2015,,0,,,0,21
3,c63555b48166412ee45a08202635bcfc,b1e8a3449031868b00273c320d0002fa,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,22,1,1,Post-viral symptoms,22,22,Not significant,Not adjusted,Both,Hospital based,Unspecified,NA,NA,263,22,Ebola Treatment Centre (ETC) Kerry Town,5,Nov 11,2014,31,Mar 03,2015,,0,,,0,22
6,98b861ee3704ef5010e243a991dc8b7e,58e20c9844e2f28ef37acf568914507a,Mutations - evolutionary rate,0.96,-3,Substitutions/site/year,0.5,0.963,Mean,NA,,0.86,1.06,CRI95%,NA,NA,NA,NA,NA,0,NA,NA,0,1,Post outbreak,,,27,1,0,,27,27,,,Unspecified,Unspecified,Unspecified,NA,NA,NA,27,Sierra Leone,NA,Mar 03,2014,NA,Sep 09,2015,Whole genome,1,,,0,27
36,1cea65b91b0a16e90c7107f9cddb7c65,d2a219b6c7eb60751d39615e0eb73c86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,907038815197614b3a8424795cef8496,dbf05f77e450d72c49025110a5e223b5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2f542467f121954aca412d6b3611ac6a,a48b51ca14680b5886f5d39a7e4857ad,Severity - case fatality rate (CFR),34,0,Percentage (%),29,100,,NA,NA,NA,NA,,39,116,,NA,,0,NA,NA,0,0,,Adjusted,,69,1,0,,69,69,,,Both,Community based,General population,0,70,192,69,Bundibugyo district,29,Nov 11,2007,20,Feb 02,2008,,0,,,0,69
34,2f542467f121954aca412d6b3611ac6a,e2b95cd19d92031847770df7b45470d4,Human delay - incubation period,7,0,Days,2,20,Median,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,,,,70,0,0,,70,70,,,Both,Community based,General population,0,70,192,70,Bundibugyo district,29,Nov 11,2007,20,Feb 02,2008,,0,,,0,70
34,2f542467f121954aca412d6b3611ac6a,41b8c02292af940646ecc36541e00e3a,Attack rate,43,5,,3,185,,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,,,,74,1,0,,74,74,,,Both,Community based,General population,0,70,192,74,Bundibugyo district,29,Nov 11,2007,20,Feb 02,2008,,0,,,0,74
34,2f542467f121954aca412d6b3611ac6a,8addb72c827152f2bdb2d0c5763893eb,Risk factors,NA,0,,NA,NA,,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,,,,71,0,0,Infection,71,71,Significant,Unspecified,Both,Community based,General population,0,70,192,71,Bundibugyo district,29,Nov 11,2007,20,Feb 02,2008,,0,,,0,71
34,2f542467f121954aca412d6b3611ac6a,d7be165d16c78e717adcb71b4aa2c985,Risk factors,NA,0,,NA,NA,,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,,,,72,0,0,Infection,72,72,Not significant,Unspecified,Both,Community based,General population,0,70,192,72,Bundibugyo district,29,Nov 11,2007,20,Feb 02,2008,,0,,,0,72
40,d35f548d16c4b81ea234348477679747,5653f4d18e4129d8541016f81e3b835b,Attack rate,9,0,Percentage (%),4,31,,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,,,,75,1,0,,75,75,,,Both,Hospital based,Healthcare workers,NA,NA,429,75,Kikwit and surrounding towns,NA,May 05,1995,NA,Jul 07,1995,,0,,,0,75
41,1d03ff8bc670f4788b1669adb97d264b,94abbf3df4c112c0a2618ed6bf6f0c41,Severity - case fatality rate (CFR),64,0,Percentage (%),NA,NA,,NA,NA,NA,NA,,32,50,,NA,,0,NA,NA,0,0,,Unspecified,,76,0,0,,76,76,,,Both,Community based,Persons under investigation,0,75,50,76,Kono District,1,Dec 12,2014,28,Feb 02,2015,,0,,,0,76
41,1d03ff8bc670f4788b1669adb97d264b,0ebf27217beff4f357ef82b7701ff8cf,Human delay - other human delay (go to section),NA,0,Days,2.5,4,Mean,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,,,,79,0,0,,79,79,,,Both,Community based,Persons under investigation,0,75,50,79,Kono District,1,Dec 12,2014,28,Feb 02,2015,,0,Symptom Onset/Fever,Removal from community,0,79
41,1d03ff8bc670f4788b1669adb97d264b,83e7f5e7f03bba8a155536e1b8148a1e,Human delay - other human delay (go to section),NA,0,Days,2,3,Median,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,,,,80,0,0,,80,80,,,Both,Community based,Persons under investigation,0,75,50,80,Kono District,1,Dec 12,2014,28,Feb 02,2015,,0,Symptom Onset/Fever,Removal from community,0,80
41,1d03ff8bc670f4788b1669adb97d264b,72b3e327be4f911cfe1304fa08b6565a,"Reproduction number (Effective, Re)",0.93,0,No units,NA,NA,Mean,NA,NA,0.15,2.3,CI95%,NA,NA,Negative-Binomial,9.83,Variance,1,NA,NA,0,0,,,Empirical (contact tracing),77,0,0,,77,77,,,Both,Community based,Persons under investigation,0,75,50,77,Kono District,1,Dec 12,2014,28,Feb 02,2015,,0,,,0,77
41,1d03ff8bc670f4788b1669adb97d264b,db143e03df826c4f7b0b4ba8869a59c9,"Reproduction number (Effective, Re)",0.29,0,No units,NA,NA,Mean,NA,NA,0.11,0.55,,NA,NA,Negative-Binomial,0.49,Variance,1,NA,NA,0,0,,,Empirical (contact tracing),78,0,0,,78,78,,,Both,Community based,Persons under investigation,0,75,49,78,Kono District,1,Dec 12,2014,28,Feb 02,2015,,0,,,0,78
38,0ccbff74cf3a7d72ae287eef81166b93,a16f8dd86aca02b5c5aecc75627d6f30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,200fdf3f6789ea50836ffb01e57895a1,7c9bf483c839b70898b2b858b28c8bd3,Reproduction number (Basic R0),NA,0,,2.1,3.81,,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,,,,73,0,0,,73,73,,,,,,NA,NA,78,73,,NA,May 05,2014,NA,Jun 06,2014,,0,,,0,73
37,ad0f946538796c176ccd1e1a9d78213a,ab0b092213b30a08d64d2bbe75d24369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6a5f07ad2e6ccab269334839aa6409f4,30b759e282b45564842655ed5c2d400a,Reproduction number (Basic R0),2.012,0,No units,NA,NA,,NA,NA,NA,NA,,NA,NA,,NA,,0,NA,NA,0,0,Start outbreak,,Next generation matrix,29,0,0,,29,29,,,Unspecified,,,NA,NA,NA,29,,29,Jun 06,2014,7,Oct 10,2014,,0,,,0,29
16,2001d295af45802123715add1735f054,bf04e79a30289a8e642412c327ea8014,Mutations - evolutionary rate,0.96,-3,Substitutions/site/year,NA,NA,Mean,NA,NA,0.86,1.06,CRI95%,NA,NA,,NA,,0,NA,NA,0,0,,,,35,0,0,,35,35,,,Male,,,NA,NA,NA,35,,NA,May 05,2014,NA,Sep 09,2015,Whole genome,0,,,0,35
2,2f24d21ff26a14c3c6e6ede26dfa8e45,5e7e0c7f7e66456cf14c18a4d6e530f8,Seroprevalence - IgG,NA,0,Percentage (%),21.2,27.9,,NA,,NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,,3,0,0,,3,3,,,,,,NA,NA,NA,3,,NA,,NA,NA,,NA,NA,0,,,0,3,0
3,badd3d65e04d0891853b809a9c03bb82,5820ee2acea91ac8c30af487a2e889e7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,6fdbf2879dee05969ce142484d200853,51dffca1f4855438a00dabaa79676d77,Severity - case fatality rate (CFR),61,0,Percentage (%),NA,NA,,NA,,NA,NA,,46,76,,NA,NA,0,NA,NA,0,0,,Naive,,4,0,0,,4,4,,,,Hospital based,Persons under investigation,NA,NA,145,4,Nzérékoré,2,Dec 12,2014,23,Feb 02,2015,NA,0,,,0,4,0
5,a8c019974ac5169b965e1bea15b256cd,3ca82d3bf7aadef1549f511bed7ca444,Growth rate (r),0.0251,0,,NA,NA,Mean,4.8634e-05,Standard deviation (Sd),NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,Growth rate,6,0,0,,6,6,,,,,,NA,NA,NA,6,,25,Mar 03,2014,3,May 05,2015,NA,0,,,0,6,0
5,a8c019974ac5169b965e1bea15b256cd,baf2927ae2264df18a21fe1f11a8d066,Growth rate ®,0.0159,0,,NA,NA,Mean,6.1289e-05,Standard deviation (Sd),NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,Growth rate,7,0,0,,7,7,,,,,,NA,NA,NA,7,,25,Mar 03,2014,3,May 05,2015,NA,0,,,0,7,0
5,a8c019974ac5169b965e1bea15b256cd,70e6cdfaa5aaf334e2a4689bbf55753e,Growth rate (r),0.0919,0,,NA,NA,Mean,0.00619,Standard deviation (Sd),NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,Growth rate,8,0,0,,8,8,,,,,,NA,NA,NA,8,,25,Mar 03,2014,3,May 05,2015,NA,0,,,0,8,0
5,a8c019974ac5169b965e1bea15b256cd,57eecfebe4823730e6ae11e7bb2e7ced,Growth rate (r),0.0536,0,,NA,NA,Mean,0.0010186,Standard deviation (Sd),NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,Growth rate,9,0,0,,9,9,,,,,,NA,NA,NA,9,,25,Mar 03,2014,3,May 05,2015,NA,0,,,0,9,0
5,a8c019974ac5169b965e1bea15b256cd,0d59313d500771874ec1f9caa6831ab4,Reproduction number (Basic R0),1.3522,0,,NA,NA,Median,NA,,1.3506,1.3537,CI95%,NA,NA,,NA,NA,0,NA,NA,0,0,,,Growth rate,10,0,0,,10,10,,,,,,NA,NA,NA,10,,25,Mar 03,2014,3,May 05,2015,NA,0,,,0,10,0
5,a8c019974ac5169b965e1bea15b256cd,6ad7ea163b4fa795d80099197d2cf07a,Reproduction number (Basic R0),1.2101,0,,NA,NA,Median,NA,,1.2084,1.2119,CI95%,NA,NA,,NA,NA,0,NA,NA,0,0,,,Growth rate,11,0,0,,11,11,,,,,,NA,NA,NA,11,,25,Mar 03,2014,3,May 05,2015,NA,0,,,0,11,0
5,a8c019974ac5169b965e1bea15b256cd,abf839e08721abe9eec48be9fc762370,Reproduction number (Basic R0),3.0234,0,,NA,NA,Median,NA,,2.6063,3.4881,CI95%,NA,NA,,NA,NA,0,NA,NA,0,0,,,Growth rate,12,0,0,,12,12,,,,,,NA,NA,NA,12,,25,Mar 03,2014,3,May 05,2015,NA,0,,,0,12,0
5,a8c019974ac5169b965e1bea15b256cd,74102d33cf5f7cea293edf79c446614f,Reproduction number (Basic R0),1.9018,0,,NA,NA,Median,NA,,1.8565,1.9478,CI95%,NA,NA,,NA,NA,0,NA,NA,0,0,,,Growth rate,13,0,0,,13,13,,,,,,NA,NA,NA,13,,25,Mar 03,2014,3,May 05,2015,NA,0,,,0,13,0
6,1061541c0fc0a6ac465afe4e49568afa,96e2c25438f6895fab3cbb649d01170a,Seroprevalence - IgM,NA,0,Percentage (%),2.4,11,,NA,,NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,,2,0,0,Death,2,2,Not significant,Unspecified,Both,,,NA,NA,NA,2,,NA,,NA,NA,,NA,NA,0,,,0,2,0
6,1061541c0fc0a6ac465afe4e49568afa,710d4f47355c6262a27b609b5ed645b7,Human delay - incubation period,8.4,0,Days,NA,NA,Other,3.7,Standard deviation (Sd),NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,,14,0,0,,14,14,,,Both,Hospital based,Persons under investigation,0,84,165,14,"Jenewonde; Dorley-La; Geleyansiesu; Bomota; Government Camp, Sinoe; Quewein; Kayah; Tayla-ta; Waleaquah",NA,Jul 07,2014,NA,Dec 12,2014,NA,0,Exposure/Infection,Symptom Onset/Fever,0,14,0
6,1061541c0fc0a6ac465afe4e49568afa,9a0301611eb4d492d053f66d78092846,Human delay - serial interval,15.1,0,Days,NA,NA,Median,4.5,Standard deviation (Sd),NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,,15,0,0,,15,15,,,Both,Hospital based,Persons under investigation,0,84,165,15,"Jenewonde; Dorley-La; Geleyansiesu; Bomota; Government Camp, Sinoe; Quewein; Kayah; Tayla-ta; Waleaquah",NA,Jul 07,2014,NA,Dec 12,2014,NA,0,Symptom Onset/Fever,Other: Enter Timepoint in Text Box,0,15,0
6,1061541c0fc0a6ac465afe4e49568afa,ae8cae9ef4e2548ae4832b7d3ca6a65c,Severity - case fatality rate (CFR),68,0,Percentage (%),50,92,Median,NA,,60,74,CI95%,NA,NA,,NA,NA,0,NA,NA,0,0,,,,16,1,0,,16,16,,,Both,Hospital based,Persons under investigation,0,84,165,16,"Jenewonde; Dorley-La; Geleyansiesu; Bomota; Government Camp, Sinoe; Quewein; Kayah; Tayla-ta; Waleaquah",NA,Jul 07,2014,NA,Dec 12,2014,NA,0,,,0,16,0
6,1061541c0fc0a6ac465afe4e49568afa,cd258715f941f9f5a0b3e35105e5b872,Reproduction number (Basic R0),1.7,0,,NA,NA,Median,NA,,1.1,2.6,CI95%,NA,NA,Negative-Binomial,NA,NA,0,NA,NA,0,0,,,Empirical (contact tracing),17,0,0,,17,17,,,Both,Hospital based,Persons under investigation,0,84,165,17,"Jenewonde; Dorley-La; Geleyansiesu; Bomota; Government Camp, Sinoe; Quewein; Kayah; Tayla-ta; Waleaquah",NA,Jul 07,2014,NA,Dec 12,2014,NA,0,,,0,17,0
6,1061541c0fc0a6ac465afe4e49568afa,40fd1d807732bba171a215563437a652,"Reproduction number (Effective, Re)",0.1,0,,NA,NA,Median,NA,,0.02,0.6,CI95%,NA,NA,Negative-Binomial,NA,NA,0,NA,NA,0,0,,,Empirical (contact tracing),18,0,0,,18,18,,,Both,Hospital based,Persons under investigation,0,84,165,18,"Jenewonde; Dorley-La; Geleyansiesu; Bomota; Government Camp, Sinoe; Quewein; Kayah; Tayla-ta; Waleaquah",NA,Jul 07,2014,NA,Dec 12,2014,NA,0,,,0,18,0
6,1061541c0fc0a6ac465afe4e49568afa,6e7b135748d8a507cd1f706ed5cf0a1c,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,,19,0,0,Recovery,19,19,Significant,Unspecified,Both,Hospital based,Persons under investigation,0,84,165,19,"Jenewonde; Dorley-La; Geleyansiesu; Bomota; Government Camp, Sinoe; Quewein; Kayah; Tayla-ta; Waleaquah",NA,Jul 07,2014,NA,Dec 12,2014,NA,0,,,0,19,0
6,1061541c0fc0a6ac465afe4e49568afa,a30abdb3a08904d289301372793a4395,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,,,,20,0,0,Recovery,20,20,Not significant,Unspecified,Both,Hospital based,Persons under investigation,0,84,165,20,"Jenewonde; Dorley-La; Geleyansiesu; Bomota; Government Camp, Sinoe; Quewein; Kayah; Tayla-ta; Waleaquah",NA,Jul 07,2014,NA,Dec 12,2014,NA,0,,,0,20,0
11,bc32e9b6ac8d3bed60d68d5fca502053,c4193d7e9f66ec2ecc5a58c49813f905,Seroprevalence - IgG,2.3,0,Percentage (%),NA,NA,,NA,,NA,NA,,17,724,,NA,NA,0,NA,NA,0,0,Post outbreak,,,31,1,0,,31,31,,,Both,Community based,Other,3,82,724,31,Ibanda; Kamwenge; Luweero,NA,Jan 01,2015,NA,Feb 02,2015,NA,0,,,0,31,0
11,bc32e9b6ac8d3bed60d68d5fca502053,a8dd70809a5804264f8882a497405177,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,Post outbreak,,,32,0,0,Serology,32,32,Not significant,Adjusted,Both,Community based,Other,3,82,724,32,Ibanda; Kamwenge; Luweero,NA,Jan 01,2015,NA,Feb 02,2015,NA,0,,,0,32,0
11,bc32e9b6ac8d3bed60d68d5fca502053,4c3d9cc849160fdf7060b98294891827,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,,NA,NA,0,NA,NA,0,0,Post outbreak,,,33,0,0,Serology,33,33,Significant,Adjusted,Both,Community based,Other,3,82,724,33,Ibanda; Kamwenge; Luweero,NA,Jan 01,2015,NA,Feb 02,2015,NA,0,,,0,33,0
